Name,Age,Region,Gender,Investment,Yield
Ronna,18,Upper West,Male,5458,3.2
Mavra,15,Upper West,Female,6461,3.7
Mil,21,Brong Ahafo Region,Female,4000,2.6
Lisa,23,Upper West,Male,3835,2.5
Marillin,15,Northern Region,Female,4716,2.9
Nydia,17,Brong Ahafo Region,Male,2423,2.1
Gussie,19,Central Region,Female,2987,2.2
Caryn,20,Volta Region,Female,4943,3
Linnie,20,Volta Region,Male,6529,3.7
Manda,20,Eastern Region,Male,6472,3.7
Gene,15,Eastern Region,Male,1191,1.8
Leslie,18,Western Region,Male,5898,3.5
Birdie,19,Central Region,Female,1040,1.8
Charline,20,Upper East Region,Female,2668,2.2
Codie,20,Upper East Region,Female,6432,3.7
Eugenie,21,Eastern Region,Male,7014,3.9
Rodina,20,Ashanti Region,Male,1123,1.8
Ranna,18,Ashanti Region,Female,1669,1.9
Ricca,16,Volta Region,Male,6627,3.7
Anastassia,21,Brong Ahafo Region,Male,1287,1.8
Bianka,24,Upper East Region,Male,2528,2.2
Denna,21,Upper East Region,Male,6296,3.6
Sherry,16,Northern Region,Male,1228,1.8
Brigitte,21,Northern Region,Male,4107,2.6
Annabal,19,Upper East Region,Male,7420,4
Nessa,21,Western Region,Male,2184,2
Kristin,15,Northern Region,Female,3045,2.3
Tandie,24,Central Region,Female,2256,2
Marney,17,Volta Region,Male,3066,2.3
Denise,23,Eastern Region,Female,2753,2.2
Anett,18,Northern Region,Male,4363,2.7
Lilia,24,Central Region,Male,6027,3.6
Katrinka,18,Brong Ahafo Region,Female,6895,3.8
Codee,19,Greater Accra,Female,1382,1.8
Adella,18,Central Region,Male,6857,3.8
Kayle,16,Ashanti Region,Male,2216,2
Abbey,19,Volta Region,Male,3326,2.3
Robinet,18,Upper West,Male,1264,1.8
Lethia,19,Northern Region,Male,5655,3.3
Ellissa,17,Volta Region,Female,5269,3.1
Milka,18,Greater Accra,Male,1699,1.9
Jocelyn,21,Western Region,Male,1447,1.8
Leone,16,Upper West,Male,4826,2.9
Dallas,19,Volta Region,Female,6482,3.7
Kariotta,23,Upper West,Male,3225,2.3
Nadeen,16,Eastern Region,Male,4178,2.6
Rahel,15,Ashanti Region,Female,973,1.7
Ruthy,18,Upper West,Male,3203,2.3
Letty,18,Upper West,Female,2224,2
Christan,18,Ashanti Region,Male,942,1.7
Dosi,24,Northern Region,Male,1129,1.8
Papagena,21,Western Region,Male,1776,1.9
Kippy,16,Western Region,Male,5743,3.4
Junina,22,Brong Ahafo Region,Male,5593,3.3
Suellen,19,Volta Region,Male,3290,2.3
Alaine,17,Northern Region,Female,1946,1.9
Stella,15,Greater Accra,Female,1279,1.8
Faythe,24,Upper East Region,Male,7214,4
Marcile,18,Central Region,Male,6293,3.6
Rochella,25,Upper West,Female,6546,3.7
Lettie,17,Ashanti Region,Female,4097,2.6
Rorie,16,Brong Ahafo Region,Female,2777,2.2
Farica,16,Ashanti Region,Female,5714,3.4
Fan,17,Brong Ahafo Region,Male,6968,3.8
Harrietta,20,Brong Ahafo Region,Female,1749,1.9
Mersey,19,Western Region,Male,6161,3.6
Dolores,21,Northern Region,Male,5887,3.5
Sibella,15,Greater Accra,Female,7194,3.9
Jolynn,25,Brong Ahafo Region,Female,1142,1.8
Phylys,19,Upper East Region,Female,3765,2.5
Ellynn,20,Greater Accra,Female,6604,3.7
Sybila,23,Northern Region,Female,3679,2.4
Dyanna,19,Upper East Region,Male,2132,2
Patience,17,Central Region,Male,6301,3.7
Bonnee,20,Upper West,Female,3195,2.3
Betteann,15,Western Region,Female,5951,3.5
Cookie,16,Central Region,Female,3278,2.3
Lonna,16,Ashanti Region,Male,1182,1.8
Ranna,18,Western Region,Female,3171,2.3
Kirsten,16,Upper East Region,Male,1733,1.9
Roselia,19,Volta Region,Male,1613,1.9
Eadie,22,Western Region,Female,2405,2.1
Maddie,23,Upper West,Male,5188,3.1
Fanni,22,Eastern Region,Female,6640,3.7
Kristin,19,Volta Region,Male,5414,3.2
Brear,24,Upper East Region,Male,7484,4
Helaina,20,Western Region,Male,6939,3.8
Sabina,20,Upper East Region,Female,4203,2.7
Anett,17,Central Region,Male,6330,3.7
Lynsey,24,Upper West,Female,3286,2.3
Nomi,15,Eastern Region,Female,1180,1.8
Garnette,20,Brong Ahafo Region,Male,4024,2.6
Bernadette,24,Upper East Region,Female,6620,3.7
Hatti,17,Ashanti Region,Male,6070,3.6
Analise,18,Northern Region,Male,6293,3.6
Oona,24,Greater Accra,Male,6120,3.6
Anne,20,Upper East Region,Male,2365,2.1
Rozele,24,Volta Region,Female,5684,3.3
Erinn,16,Greater Accra,Female,1114,1.8
Lurette,18,Ashanti Region,Male,4581,2.8
Peri,19,Brong Ahafo Region,Male,2177,2
Avrit,23,Western Region,Female,5472,3.2
Dulsea,24,Ashanti Region,Female,3478,2.4
Cristen,17,Upper East Region,Male,3913,2.5
Aveline,23,Brong Ahafo Region,Female,2607,2.2
Ann,19,Eastern Region,Male,3504,2.4
Adella,17,Greater Accra,Female,5005,3
Codie,18,Greater Accra,Male,3690,2.4
Delora,18,Upper West,Female,6661,3.7
Dosi,25,Volta Region,Female,5569,3.3
Brenna,18,Upper East Region,Female,5021,3
Pattie,21,Upper West,Female,5324,3.2
Shirlene,23,Ashanti Region,Male,1550,1.9
Cecil,19,Northern Region,Male,2877,2.2
Phebe,19,Northern Region,Male,3391,2.3
Merlina,25,Eastern Region,Male,1459,1.8
Demetra,16,Brong Ahafo Region,Male,7288,4
Franky,17,Greater Accra,Male,5364,3.2
Diane,19,Eastern Region,Female,1347,1.8
Guenna,19,Upper West,Female,1078,1.8
Inez,21,Brong Ahafo Region,Male,3610,2.4
Jessy,15,Eastern Region,Male,1220,1.8
Lindy,23,Western Region,Male,3963,2.5
Shandy,16,Western Region,Male,2514,2.2
Gabriela,19,Upper West,Male,1313,1.8
Claudie,15,Volta Region,Female,1279,1.8
Jannel,16,Brong Ahafo Region,Female,1125,1.8
Agnes,23,Upper West,Female,882,1.7
Deny,17,Brong Ahafo Region,Female,6999,3.8
Florri,23,Upper East Region,Male,1618,1.9
Bonnee,25,Greater Accra,Male,6113,3.6
Junia,19,Greater Accra,Female,7189,3.9
Shela,24,Brong Ahafo Region,Female,2141,2
Tania,21,Central Region,Female,6413,3.7
Ediva,25,Northern Region,Female,858,1.7
Rafa,15,Upper East Region,Male,6018,3.6
Galina,16,Brong Ahafo Region,Male,4088,2.6
Kendra,15,Ashanti Region,Female,1862,1.9
Jonie,25,Upper West,Male,5413,3.2
Isabelita,21,Western Region,Male,4440,2.8
Minta,18,Northern Region,Female,4627,2.8
Kellie,16,Northern Region,Female,4869,2.9
Dore,17,Ashanti Region,Male,5252,3.1
Roselia,16,Upper West,Female,5499,3.2
Faith,20,Upper East Region,Male,4661,2.8
Angelia,18,Brong Ahafo Region,Female,4937,3
Dniren,15,Upper West,Female,2125,2
Lyssa,25,Northern Region,Male,2402,2.1
Lorain,20,Northern Region,Female,4759,2.9
Liana,24,Greater Accra,Female,6634,3.7
Guenna,16,Eastern Region,Male,3870,2.5
Diane,22,Brong Ahafo Region,Male,2198,2
Brandie,19,Western Region,Male,3930,nil
Taffy,17,Volta Region,Female,884,1.7
Deni,22,Greater Accra,Female,2226,2
Mair,20,Ashanti Region,Male,4400,2.8
Alys,20,Central Region,Male,4830,2.9
Odetta,24,Upper West,Male,5389,3.2
Harley,21,Upper East Region,Female,3645,2.4
Ailene,17,Volta Region,Female,5659,3.3
Keely,22,Brong Ahafo Region,Male,1422,1.8
Binny,15,Brong Ahafo Region,Male,4786,2.9
Rubi,19,Central Region,Female,806,1.7
Alida,24,Eastern Region,Female,6263,3.6
Claude,18,Western Region,Female,1051,1.8
Grier,22,Brong Ahafo Region,Female,5738,3.4
Michel,17,Northern Region,Male,1178,1.8
Jeanie,24,Central Region,Female,4018,2.6
Casie,25,Eastern Region,Female,856,1.7
Angelita,16,Central Region,Male,6653,3.7
Emmalyn,25,Western Region,Female,2648,2.2
Nadean,15,Ashanti Region,Male,4756,2.9
Maggie,17,Upper East Region,Female,6897,3.8
Elianore,20,Ashanti Region,Female,5417,3.2
Latisha,22,Upper East Region,Female,6306,3.7
Amity,16,Central Region,Male,5350,3.2
Becky,23,Upper East Region,Male,1113,1.8
Michelina,20,Brong Ahafo Region,Female,835,1.7
Leah,21,Eastern Region,Female,6121,3.6
Lorenza,15,Upper East Region,Male,7223,4
Fawn,20,Western Region,Female,6098,3.6
Mariann,16,Brong Ahafo Region,Male,6880,3.8
Nessi,20,Ashanti Region,Male,2881,2.2
Peggi,17,Northern Region,Female,3960,2.5
Ruthe,24,Greater Accra,Male,2755,2.2
Lorne,17,Central Region,Male,5406,3.2
Harli,20,Upper West,Male,6016,3.6
Agnes,17,Ashanti Region,Male,1470,1.8
Edee,15,Volta Region,Male,5633,3.3
Pansie,15,Eastern Region,Male,2467,2.1
Cloe,24,Central Region,Male,3182,2.3
Corrine,21,Eastern Region,Male,5167,3.1
Eden,21,Greater Accra,Male,2978,2.2
Clementine,25,Northern Region,Male,7006,3.9
Marjie,20,Ashanti Region,Female,7403,4
Elisabet,18,Central Region,Female,5713,3.4
Flossi,17,Ashanti Region,Female,4124,2.6
Betty,23,Upper West,Female,1126,1.8
Florette,20,Volta Region,Female,5528,3.3
Georgina,21,Volta Region,Male,1839,1.9
Alisha,18,Northern Region,Female,3527,2.4
Abbey,23,Ashanti Region,Male,6751,3.8
Constanta,18,Volta Region,Male,3372,2.3
Sheilah,23,Volta Region,Male,5574,3.3
Mamie,23,Upper East Region,Male,1305,1.8
Donia,25,Upper West,Male,2890,2.2
Flora,25,Eastern Region,Female,3314,2.3
Doralin,24,Western Region,Female,5543,3.3
Ronda,17,Greater Accra,Female,1208,1.8
Alexis,20,Northern Region,Female,6473,3.7
Elnora,24,Ashanti Region,Male,3528,2.4
Kevyn,18,Central Region,Male,7076,3.9
Hana,21,Brong Ahafo Region,Female,2097,2
Gavra,16,Volta Region,Female,7150,3.9
Elsbeth,19,Eastern Region,Male,5703,3.4
Eryn,22,Northern Region,Male,1244,1.8
Alissa,17,Brong Ahafo Region,Female,3693,2.4
Gayel,17,Eastern Region,Male,3430,2.4
Kimbra,17,Central Region,Male,802,1.7
Florry,19,Brong Ahafo Region,Female,1517,1.9
Mellisa,25,Greater Accra,Male,3932,2.5
Ilysa,25,Eastern Region,Male,2145,2
Marley,16,Ashanti Region,Male,7454,4
Corrine,22,Upper East Region,Female,2785,2.2
Angelle,24,Western Region,Female,805,1.7
Anabelle,20,Eastern Region,Female,1540,1.9
Tabbatha,22,Ashanti Region,Female,4245,2.7
Amitie,21,Central Region,Female,6189,3.6
Mada,22,Upper East Region,Female,4190,2.6
Janifer,21,Volta Region,Female,1130,1.8
Benni,17,Ashanti Region,Male,2548,2.2
Addi,24,Eastern Region,Male,2367,2.1
Celeste,25,Volta Region,Female,5584,3.3
Atlanta,18,Western Region,Female,4293,2.7
Philippa,25,Upper East Region,Male,4505,2.8
Harli,23,Ashanti Region,Male,3774,2.5
Ivette,20,Upper East Region,Female,5377,3.2
Clarisse,15,Eastern Region,Female,2638,2.2
Roxi,21,Volta Region,Male,1572,1.9
Phillida,20,Eastern Region,Male,5144,3.1
Cher,17,Brong Ahafo Region,Male,4294,2.7
Kynthia,23,Ashanti Region,Female,2173,2
Shayla,17,Western Region,Female,1114,1.8
Madelaine,16,Ashanti Region,Male,5264,3.1
Darsie,18,Volta Region,Female,1348,1.8
Katee,24,Northern Region,Female,846,1.7
Mignon,15,Eastern Region,Female,6177,3.6
Larine,18,Greater Accra,Female,6698,3.7
Brigida,24,Ashanti Region,Male,6483,3.7
Gelya,18,Volta Region,Male,1036,1.8
Lynde,24,Northern Region,Female,6057,3.6
Joell,24,Brong Ahafo Region,Male,1052,1.8
Robinia,19,Volta Region,Male,6289,3.6
Lauree,19,Eastern Region,Male,2820,2.2
Selle,25,Central Region,Female,7123,3.9
Barbaraanne,22,Eastern Region,Female,5038,3
Estrella,21,Ashanti Region,Male,7224,4
Carmelia,25,Eastern Region,Female,5705,3.4
Jacqueline,23,Brong Ahafo Region,Male,1291,1.8
Raynell,17,Eastern Region,Female,1390,1.8
Bernete,22,Western Region,Female,4983,3
Lynn,24,Central Region,Male,1100,1.8
Merrill,21,Greater Accra,Female,3020,2.3
Liliane,22,Northern Region,Female,1611,1.9
Harriott,23,Northern Region,Female,984,1.7
Moreen,18,Eastern Region,Female,4247,2.7
Devi,15,Upper West,Female,1897,1.9
Cammi,17,Greater Accra,Male,2885,2.2
Ottilie,15,Upper East Region,Female,6975,3.8
Cassaundra,20,Eastern Region,Male,1149,1.8
Tatiania,23,Volta Region,Male,3880,2.5
Adey,24,Upper West,Female,3662,2.4
Imogene,21,Eastern Region,Female,3920,2.5
Lusa,19,Greater Accra,Female,3249,2.3
Deloris,24,Upper East Region,Male,4834,2.9
Moreen,23,Brong Ahafo Region,Female,6751,3.8
Merridie,20,Greater Accra,Female,2299,2
Shell,15,Brong Ahafo Region,Female,3203,2.3
Roxie,24,Brong Ahafo Region,Female,7194,3.9
Brande,16,Central Region,Female,1433,1.8
Jeri,16,Volta Region,Male,6509,3.7
Steffi,24,Ashanti Region,Male,1575,1.9
Paulita,23,Western Region,Male,6582,3.7
Aurelia,15,Brong Ahafo Region,Female,4371,2.7
Anny,25,Greater Accra,Female,1606,1.9
Adriana,21,Brong Ahafo Region,Male,6471,3.7
Ruth,16,Volta Region,Female,5228,3.1
Jenelle,22,Western Region,Male,1634,1.9
Cassaundra,23,Volta Region,Male,2326,2.1
Faustina,22,Volta Region,Male,2058,2
Melinda,19,Western Region,Male,5131,3.1
Sophey,16,Western Region,Male,3012,2.3
Taryn,19,Eastern Region,Female,5733,3.4
Colette,16,Eastern Region,Female,4080,2.6
Adara,16,Greater Accra,Male,3182,2.3
Kizzie,19,Volta Region,Female,1306,1.8
Stefa,16,Ashanti Region,Male,1750,1.9
Jobye,16,Upper East Region,Female,4421,2.8
Denice,18,Upper East Region,Female,4838,2.9
Mathilde,19,Ashanti Region,Male,5081,3.1
Eddi,15,Volta Region,Female,6601,3.7
Cinderella,15,Upper West,Male,4590,2.8
Althea,20,Greater Accra,Female,6927,3.8
Nara,20,Eastern Region,Female,1944,1.9
Sheila,16,Volta Region,Female,6086,3.6
Sasha,23,Greater Accra,Male,3386,2.3
Cyndi,20,Ashanti Region,Male,5222,3.1
Tabby,18,Western Region,Female,1765,1.9
Maressa,25,Western Region,Male,3634,2.4
Melosa,16,Northern Region,Female,5894,3.5
Fenelia,15,Greater Accra,Male,7402,4
Calla,15,Greater Accra,Male,5105,3.1
Alana,15,Brong Ahafo Region,Female,1436,1.8
Kimberli,19,Greater Accra,Male,3949,2.5
Paula,19,Brong Ahafo Region,Female,1064,1.8
Fiann,20,Brong Ahafo Region,Female,1586,1.9
Leone,22,Upper West,Male,1261,1.8
Lurette,17,Eastern Region,Female,4555,2.8
Gwendolyn,21,Upper West,Female,4418,2.8
Halli,17,Greater Accra,Female,4280,2.7
Gladi,18,Upper West,Male,1880,1.9
Lida,18,Ashanti Region,Female,7321,4
Harrie,16,Northern Region,Male,1071,1.8
Gwenni,25,Greater Accra,Female,4847,2.9
Lane,17,Northern Region,Female,6974,3.8
Kylila,25,Upper East Region,Male,4733,2.9
Cate,22,Upper West,Female,4589,2.8
Shelley,20,Volta Region,Female,1489,1.8
Shane,22,Upper West,Female,3295,2.3
Evvy,17,Northern Region,Female,5919,3.5
Dyann,24,Ashanti Region,Female,4193,2.6
Aurilia,21,Greater Accra,Male,1440,1.8
Michaelina,25,Northern Region,Female,4786,2.9
Berni,23,Ashanti Region,Female,6501,3.7
Kittie,25,Eastern Region,Female,3132,2.3
Charis,21,Upper East Region,Female,6191,3.6
Maible,19,Volta Region,Male,6747,3.8
Penelopa,21,Western Region,Female,3364,2.3
Mersey,15,Upper West,Female,1356,1.8
Mamie,19,Eastern Region,Male,2730,2.2
Dena,24,Central Region,Female,1485,1.8
Aleen,19,Eastern Region,Female,1405,1.8
Christin,15,Upper West,Male,1249,1.8
Ronica,23,Volta Region,Female,6388,3.7
Alla,16,Ashanti Region,Female,3628,2.4
Maggi,25,Upper West,Male,4204,2.7
Diane,18,Greater Accra,Female,3526,2.4
Stafani,25,Central Region,Male,4561,2.8
Aimee,18,Brong Ahafo Region,Male,1312,1.8
Mariana,25,Eastern Region,Male,2275,2
Barbi,20,Greater Accra,Male,5419,3.2
Evelyn,25,Central Region,Female,5749,3.4
Chantal,23,Ashanti Region,Female,5205,3.1
Ambur,19,Volta Region,Female,2455,2.1
Glennis,20,Central Region,Female,2840,2.2
Evangelia,21,Upper West,Male,7048,3.9
Babbette,24,Brong Ahafo Region,Female,4820,2.9
Shaylah,16,Brong Ahafo Region,Female,2111,2
Erica,16,Eastern Region,Female,6629,3.7
Mag,25,Northern Region,Female,1076,1.8
Drona,17,Western Region,Male,1078,1.8
Beatriz,25,Greater Accra,Male,1385,1.8
Joanna,17,Brong Ahafo Region,Female,1554,1.9
Josselyn,16,Volta Region,Male,2076,2
Concordia,24,Western Region,Male,4041,2.6
Harley,16,Greater Accra,Male,1259,1.8
Laurice,20,Northern Region,Female,6535,3.7
Sabrina,23,Ashanti Region,Female,4275,2.7
Doreen,20,Ashanti Region,Male,6063,3.6
Rheta,24,Brong Ahafo Region,Female,2579,2.2
Adoree,23,Brong Ahafo Region,Male,4861,2.9
Adelaida,23,Eastern Region,Male,1663,1.9
Lula,23,Greater Accra,Male,1708,1.9
Katrinka,21,Western Region,Male,6924,3.8
Kevina,16,Central Region,Female,6103,3.6
Aeriell,16,Upper East Region,Female,2640,2.2
Esma,20,Western Region,Female,4360,2.7
Lily,24,Central Region,Female,1725,1.9
Lizette,16,Upper East Region,Male,4659,2.8
Tani,18,Upper East Region,Male,1112,1.8
Denny,20,Western Region,Female,1737,1.9
Arliene,18,Western Region,Female,2371,2.1
Sophia,17,Western Region,Male,1949,1.9
Bird,15,Central Region,Male,2620,2.2
Chandra,24,Upper West,Male,5139,3.1
Mariellen,22,Eastern Region,Female,5612,3.3
Moina,23,Northern Region,Female,3350,2.3
Allyson,17,Upper West,Female,2121,2
Ellene,18,Eastern Region,Male,1253,1.8
Chanda,22,Volta Region,Female,4830,2.9
Cleopatra,24,Northern Region,Female,3631,2.4
Adrian,25,Eastern Region,Female,830,1.7
Fawn,15,Eastern Region,Male,2216,2
Ronnie,15,Central Region,Female,1195,1.8
Erika,20,Central Region,Male,6825,3.8
Sal,22,Brong Ahafo Region,Male,6447,3.7
Olympia,22,Brong Ahafo Region,Female,3740,2.5
Shayne,21,Brong Ahafo Region,Male,3987,2.5
Anastassia,25,Upper West,Female,1645,1.9
Pat,16,Greater Accra,Female,6931,3.8
Nessa,25,Eastern Region,Female,5047,3
Leann,25,Ashanti Region,Male,2679,2.2
Adah,19,Brong Ahafo Region,Female,5948,3.5
Emyle,17,Greater Accra,Male,5006,3
Tasha,15,Volta Region,Female,6251,3.6
Shoshanna,15,Upper West,Female,5690,3.3
Loise,19,Upper West,Female,1621,1.9
Allina,20,Upper West,Male,3065,2.3
Amie,24,Northern Region,Male,7184,3.9
Hedwig,15,Ashanti Region,Male,4152,2.6
Britteny,16,Upper West,Male,4156,2.6
Illa,25,Upper East Region,Male,1852,1.9
Kath,15,Brong Ahafo Region,Male,2615,2.2
Peggy,21,Ashanti Region,Male,1732,1.9
Ophelie,18,Volta Region,Male,7068,3.9
Giana,21,Central Region,Male,2407,2.1
Myrtia,22,Volta Region,Male,4930,3
Myra,24,Volta Region,Male,4471,2.8
Elinor,17,Upper East Region,Female,4848,2.9
Legra,19,Eastern Region,Female,3868,2.5
Dasya,22,Upper East Region,Male,1583,1.9
Jenni,21,Upper West,Female,6500,3.7
Cindee,23,Eastern Region,Male,3670,2.4
Jenelle,17,Volta Region,Female,2712,2.2
Cleopatra,23,Eastern Region,Male,5929,3.5
Fayre,15,Upper East Region,Male,2809,2.2
Maria,24,Volta Region,Male,5833,3.5
Jaquenetta,17,Brong Ahafo Region,Female,6425,3.7
Ashlee,16,Ashanti Region,Female,2046,2
Robinia,23,Greater Accra,Male,2538,2.2
Beatriz,20,Western Region,Female,5997,3.5
Marie,24,Central Region,Male,1648,1.9
Beverie,21,Central Region,Female,1715,1.9
Tasia,17,Brong Ahafo Region,Female,7436,4
Jacklyn,15,Western Region,Female,5819,3.5
Marlee,20,Eastern Region,Male,5693,3.3
Chrystel,25,Brong Ahafo Region,Female,4790,2.9
Melly,22,Greater Accra,Male,6727,3.8
Dredi,23,Central Region,Male,2690,2.2
Annmarie,16,Central Region,Female,2273,2
Addi,16,Upper West,Female,2753,2.2
Nonah,25,Ashanti Region,Female,1538,1.9
Darlleen,18,Eastern Region,Male,2909,2.2
Heda,19,Central Region,Female,5520,3.3
Aili,19,Central Region,Male,3226,2.3
Jorrie,15,Upper East Region,Female,986,1.7
Tabbie,19,Upper West,Male,2118,2
Samaria,25,Greater Accra,Female,5039,3
Eleanora,25,Greater Accra,Male,4943,3
Cyndi,17,Northern Region,Female,3838,2.5
Gussie,24,Ashanti Region,Female,1264,1.8
Dolly,21,Upper East Region,Female,1400,1.8
Caritta,23,Northern Region,Female,4548,2.8
Farica,24,Volta Region,Female,6850,3.8
Karrah,17,Ashanti Region,Male,4678,2.8
Meghann,22,Western Region,Male,5410,3.2
Casandra,19,Ashanti Region,Male,2731,2.2
Cynthia,19,Central Region,Female,3734,2.5
Sallie,23,Northern Region,Female,2907,2.2
Perri,23,Central Region,Male,7440,4
Anallese,16,Ashanti Region,Male,1651,1.9
Suzann,24,Western Region,Female,3475,2.4
Betteann,17,Eastern Region,Male,4043,2.6
Jeanine,25,Eastern Region,Male,4686,2.8
Rosie,18,Ashanti Region,Male,1674,1.9
Drona,16,Northern Region,Female,7029,3.9
Babette,24,Central Region,Female,5628,3.3
Aline,17,Eastern Region,Male,4475,2.8
Giulia,25,Western Region,Female,4549,2.8
Allie,23,Upper West,Male,6415,3.7
Atalanta,19,Brong Ahafo Region,Male,5511,3.3
Indira,20,Volta Region,Female,7466,4
Maren,25,Upper East Region,Male,1703,1.9
Marice,24,Northern Region,Male,4713,2.9
Delphine,15,Upper East Region,Female,2917,2.2
Shanie,16,Greater Accra,Female,3883,2.5
Frannie,20,Brong Ahafo Region,Female,2749,2.2
Nananne,19,Western Region,Male,7395,4
Jeanine,25,Central Region,Male,3061,2.3
Sabra,16,Greater Accra,Female,4943,3
Suzann,25,Central Region,Male,861,1.7
Rhiamon,21,Western Region,Female,5244,3.1
Teddi,17,Central Region,Female,1400,1.8
Hedy,23,Ashanti Region,Male,5769,3.4
Caroline,22,Central Region,Female,5218,3.1
Georgianne,19,Upper East Region,Female,2382,2.1
Inna,15,Upper East Region,Female,3732,2.5
Liesa,25,Greater Accra,Male,1991,1.9
Caria,24,Central Region,Male,1173,1.8
Eba,23,Brong Ahafo Region,Male,7172,3.9
Freddi,22,Brong Ahafo Region,Female,5239,3.1
Freddi,17,Northern Region,Female,5257,3.1
Allx,15,Upper West,Female,1486,1.8
Dara,25,Volta Region,Female,7478,4
Oralle,18,Volta Region,Female,5772,3.4
Clarie,18,Volta Region,Male,3440,2.4
Moira,15,Volta Region,Female,5681,3.3
Jobie,23,Volta Region,Female,1124,1.8
Maurine,15,Eastern Region,Male,5940,3.5
Seana,25,Central Region,Female,5296,3.1
Celene,18,Eastern Region,Female,1480,1.8
Ceil,25,Northern Region,Male,5616,3.3
Alyce,23,Upper East Region,Male,5954,3.5
Merna,21,Northern Region,Female,6040,3.6
Maybelle,24,Central Region,Female,1773,1.9
Horatia,23,Ashanti Region,Male,6433,3.7
Gunilla,19,Brong Ahafo Region,Male,2122,2
Marla,15,Upper West,Female,6295,3.6
Katrina,24,Northern Region,Male,1838,1.9
Carole,25,Greater Accra,Male,1461,1.8
Catie,20,Eastern Region,Male,5000,NA
Lurline,16,Eastern Region,Female,4081,2.6
Rozelle,18,Upper West,Female,5365,3.2
Ardra,23,Upper West,Male,3776,2.5
Nerta,15,Upper West,Female,4213,2.7
Korney,20,Greater Accra,Male,1159,1.8
Alissa,20,Eastern Region,Male,3019,2.3
Anallise,21,Western Region,Female,2043,2
Dominique,16,Upper East Region,Male,1215,1.8
Darcie,22,Upper East Region,Male,1408,1.8
Sheelah,25,Upper East Region,Female,5997,3.5
Beatrix,24,Volta Region,Female,6825,3.8
Selma,24,Ashanti Region,Male,3917,2.5
Amara,24,Northern Region,Female,1257,1.8
Ardella,18,Central Region,Female,1501,1.9
Florrie,16,Brong Ahafo Region,Male,3900,2.5
Delcina,15,Greater Accra,Female,2062,2
Carolynn,23,Greater Accra,Male,3679,2.4
Angele,15,Brong Ahafo Region,Female,2371,2.1
Davina,25,Upper West,Male,1503,1.9
Goldi,23,Central Region,Female,7211,4
Ameline,20,Central Region,Male,1120,1.8
Almira,18,Ashanti Region,Male,3091,2.3
Millicent,18,Central Region,Male,3019,2.3
Melinde,20,Brong Ahafo Region,Female,1877,1.9
Halli,19,Upper East Region,Male,1665,1.9
Debor,24,Upper West,Male,1508,1.9
Drusie,18,Western Region,Male,4140,2.6
Sondra,23,Central Region,Female,3478,2.4
Cally,19,Upper East Region,Female,2408,2.1
Gussi,21,Northern Region,Male,3568,2.4
Dominica,25,Central Region,Male,6156,3.6
Pearline,22,Western Region,Male,2547,2.2
Dyana,20,Western Region,Male,1810,1.9
Adelaida,17,Northern Region,Female,1563,1.9
Marysa,20,Ashanti Region,Male,4007,2.6
Daffy,20,Greater Accra,Male,1847,1.9
Estell,17,Eastern Region,Female,5298,3.1
Rose,24,Western Region,Male,2358,2.1
Nariko,24,Eastern Region,Female,5534,3.3
Meghann,24,Western Region,Female,6403,3.7
Gwyn,17,Central Region,Female,2601,2.2
Edythe,22,Northern Region,Female,4483,2.8
Nicholle,20,Upper West,Female,3578,2.4
Lena,25,Upper West,Male,3281,2.3
Holly,19,Volta Region,Male,1050,1.8
Sybille,23,Ashanti Region,Female,5171,3.1
Ashlee,22,Volta Region,Female,3184,2.3
Daron,22,Ashanti Region,Male,2143,2
Nanice,23,Upper East Region,Female,5235,3.1
Nertie,17,Greater Accra,Female,6461,3.7
Shelley,19,Upper West,Male,6148,3.6
Dyanna,18,Upper East Region,Female,3461,2.4
Germaine,21,Eastern Region,Male,3024,2.3
Charmaine,20,Western Region,Female,5191,3.1
Rae,24,Eastern Region,Female,3110,2.3
Eden,17,Ashanti Region,Female,4340,2.7
Consuelo,22,Central Region,Female,4354,2.7
Glyn,25,Northern Region,Female,3191,2.3
Farand,25,Ashanti Region,Female,2125,2
Quinn,16,Northern Region,Male,3570,2.4
Laurice,24,Ashanti Region,Female,1488,1.8
Kessia,25,Upper West,Male,1487,1.8
Carin,20,Upper East Region,Male,4215,2.7
Felicdad,18,Upper West,Male,6623,3.7
Emmalynne,20,Western Region,Female,6189,3.6
Nonna,16,Upper East Region,Female,3282,2.3
Beret,24,Western Region,Female,4090,2.6
Conchita,16,Eastern Region,Male,2101,2
Tammy,23,Greater Accra,Male,2675,2.2
Hope,25,Ashanti Region,Male,2439,2.1
Gabriell,17,Upper West,Female,906,1.7
Chloette,24,Greater Accra,Male,2108,2
Michelina,17,Volta Region,Female,7213,4
Darline,16,Brong Ahafo Region,Female,7380,4
Rozella,19,Western Region,Male,7191,3.9
Marylin,16,Ashanti Region,Male,7410,4
Gracia,19,Volta Region,Female,1554,1.9
Bryna,22,Greater Accra,Male,6908,3.8
Michell,25,Eastern Region,Female,3642,2.4
Donni,17,Northern Region,Male,3527,2.4
Agna,21,Greater Accra,Male,1215,1.8
Gayla,21,Upper West,Male,5382,3.2
Prue,16,Upper East Region,Male,2925,2.2
Agna,19,Western Region,Female,3457,2.4
Ingaborg,17,Central Region,Female,7314,4
